 Emin                                                                                                                   
  -0.000872131085d0
  Rmin/ang     Rmin/bohr       alpha(morse)-use-with-this-Re(bohr)                                                      
      0.1161287540428520D+01      0.2194515245360671D+01        0.5291772490000000D+00      0.2194727269729504D+01      
r12ref,alpha,De1,De2                                                                                                    
        1.1613997389        0.5291772490         155000.0000          40000.0000                                        
Ae1,Ae2                                                                                                                 
          40000.0000          20000.0000                                                                                
edamp2,edamp4,edamp5,edamp6                                                                                             
             -2.0000             -4.0000             -0.2500             -0.5000                                        
 Ncoe                                                                                                                   
    6    1    4  0.115945029977D+05
    6    1    5 -0.504829656857D+04
    6    2    0  0.548056192175D+04
    6    2    1 -0.970069858921D+04
    6    2    2 -0.391352100237D+03
    6    2    3  0.690224689945D+04
    6    2    4 -0.235619923265D+04
    6    3    0  0.323968571487D+04
    6    3    1 -0.302897428361D+04
    6    3    2 -0.681359345600D+04
    6    3    3  0.732101011018D+04
    6    4    0 -0.206219917473D+03
    6    4    1 -0.876333591070D+03
    6    4    2  0.232555952215D+04
    6    5    0 -0.714844660589D+02
    6    5    1 -0.158195539286D+05
    6    6    0  0.308126217455D+05
    7    0    0  0.291413140858D+03
    7    0    1 -0.143829199766D+04
    7    0    2 -0.100824138021D+03
    7    0    3  0.692262835499D+04
    7    0    4 -0.941094691905D+04
    7    0    5  0.373135708333D+04
    7    1    0  0.289848720668D+04
    7    1    1 -0.462937579966D+04
    7    1    2 -0.138646872105D+04
    7    1    3  0.458530052425D+04
    7    1    4 -0.150767984305D+04
    7    2    0 -0.655056239986D+04
    7    2    1  0.101376627373D+05
    7    2    2  0.555187837651D+04
    7    2    3 -0.906705107341D+04
    7    3    0 -0.720542153004D+04
    7    3    1  0.367270451222D+04
    7    3    2  0.509081842967D+04
    7    4    0 -0.108018070911D+04
    7    4    1 -0.705984266726D+04
    7    5    0  0.150810870344D+05
    8    0    0  0.188198400735D+04
    8    0    1 -0.610856584995D+04
    8    0    2  0.614745661790D+04
    8    0    3 -0.127583255190D+04
    8    0    4 -0.636995154482D+03
    8    1    0 -0.266751371464D+04
    8    1    1  0.587573005320D+04
    8    1    2 -0.299719108263D+04
    8    1    3 -0.363213125969D+02
    8    2    0 -0.526161289512D+04
    8    2    1  0.679710172138D+04
    8    2    2 -0.711026185855D+03
    8    3    0  0.238838646786D+05
    8    3    1 -0.294161448389D+05
    8    4    0  0.681292547478D+04
